model,GiniIndex,GiniIndex_emb,interests,layers,weight,Coverage@10,Coverage@20,Coverage@5,Coverage@50,Entropy@10,Entropy@20,Entropy@5,Entropy@50,GiniIndex@10,GiniIndex@20,GiniIndex@5,GiniIndex@50,GiniIndex_emb@10,GiniIndex_emb@20,GiniIndex_emb@5,GiniIndex_emb@50,HitRate@10,HitRate@20,HitRate@5,HitRate@50,ILD@10,ILD@20,ILD@5,ILD@50,LongTailCoverage@10,LongTailCoverage@20,LongTailCoverage@5,LongTailCoverage@50,NDCG@10,NDCG@20,NDCG@5,NDCG@50,Novelty@10,Novelty@20,Novelty@5,Novelty@50
naive-bayes,0.9081167292787762,,,,,0.10615079365079365,0.14285714285714285,0.07837301587301587,0.23313492063492064,5.41964412551683,6.03448752690546,4.80561617370159,6.932169598590294,0.9686321792398551,0.9517368514570007,0.9793193894473212,0.9081167292787762,0.0,0.0,0.0,0.0,0.07142857142857142,0.1140724946695096,0.035181236673773986,0.21641791044776118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0340219341718188,0.04438232119212235,0.02215814356975894,0.06476622438988702,2.7865508476006027,2.967320340179877,2.627642928212116,3.2620984854000237
lightgcn,0.9013684553423359,0.38230186967124935,,3.0,,0.11011904761904762,0.16865079365079366,0.0763888888888889,0.2777777777777778,5.370595786578419,6.117234733455,4.672652548335277,7.0374741370701015,0.9695810911429248,0.9486683292720073,0.9812104443767556,0.9013684553423359,0.07221372662605799,0.08217370468483065,0.06129373088410609,0.09316828939919844,0.07356076759061833,0.12260127931769722,0.03411513859275053,0.232409381663113,0.15808783029156454,0.10542926904378033,0.28431420323691137,0.08224130926260562,0.06306306306306306,0.07647058823529412,0.05194805194805195,0.08928571428571429,0.03497430642966493,0.04748954752357265,0.022364726984549065,0.06907448193898541,2.823991728987218,3.036054219658306,2.6393765647383978,3.3402646087457404
csar-listwise,0.5040884438352455,0.08001935972745608,64.0,,1.0,0.6954365079365079,0.8184523809523809,0.5873015873015873,0.9474206349206349,8.833488526083224,9.050314155967522,8.63341512898043,9.348835933197067,0.6579210664365248,0.6021142163332995,0.7012442041493214,0.5040884438352455,0.09249991298033605,0.09277698470811009,0.0896854165426972,0.09036345088690045,0.06823027718550106,0.1396588486140725,0.03731343283582089,0.27505330490405117,1.0377058389979894,0.9845620684150947,1.17204713097005,0.9634108761988723,0.042796005706134094,0.08848484848484849,0.02364864864864865,0.15916230366492146,0.03483466216481596,0.05276808960058819,0.024843667811403743,0.07951157396063381,4.358450854000421,4.488505829516388,4.285422240042658,4.742654939292648
lightgcn-listwise,0.6998158865536265,0.21722682677156965,,3.0,,0.39087301587301587,0.5595238095238095,0.2777777777777778,0.8630952380952381,7.462700386641577,7.958300616133585,6.968559105360616,8.674108951076791,0.8702031932175855,0.8174701534842793,0.9071555487866788,0.6998158865536265,0.1582092730585156,0.1688680526886821,0.15006084660931066,0.1919349576713031,0.12366737739872068,0.2068230277185501,0.06183368869936034,0.3624733475479744,0.670865320987793,0.6590054591200245,0.7664417302303477,0.7027617879450194,0.02030456852791878,0.040780141843971635,0.014285714285714285,0.12528735632183907,0.05539906210429904,0.07587317885759501,0.035429998519318065,0.10672018296875746,3.461757213052633,3.705816512392517,3.2542445975514056,4.165177646089798
csar-sampled,0.6426745524080278,0.07589219218818176,96.0,,0.1,0.5803571428571429,0.7400793650793651,0.43253968253968256,0.9196428571428571,8.122304164008515,8.457325025947043,7.76682040508387,8.921689740495053,0.7930803042610078,0.7406113564828917,0.8364254408230954,0.6426745524080278,0.06550734126593202,0.06535087003355435,0.06570902555558539,0.06587532793072151,0.10660980810234541,0.17270788912579957,0.0628997867803838,0.3283582089552239,0.9181268543703978,0.8788179876580675,1.0411390403567602,0.8782502523998716,0.039316239316239315,0.0777479892761394,0.020642201834862386,0.1499460625674218,0.05224047192339214,0.06902525658244922,0.038234250389921856,0.09934777837552493,3.8185490694034896,4.006747485138113,3.6471711678800456,4.343383022921013
csar-listwise,0.5717474701323315,0.15291181070499135,96.0,,1.0,0.6140873015873016,0.7797619047619048,0.4861111111111111,0.9444444444444444,8.435204374368489,8.738214545844015,8.13966409950337,9.165251121538883,0.7430640166514367,0.6843553279520763,0.78906107219007,0.5717474701323315,0.151072273637158,0.15176898672898786,0.1520434269596557,0.15345864123981517,0.1023454157782516,0.18230277185501065,0.06396588486140725,0.3049040511727079,0.9975437777382987,0.9513387282901227,1.1246584695793673,0.9372943219091339,0.03715670436187399,0.07760814249363868,0.014285714285714285,0.1565126050420168,0.05331665972530695,0.07304954055472654,0.041246240257288264,0.09726784585869397,4.035398814261695,4.236737226821777,3.8637317727034444,4.6045343732206705
lightgcn,0.9069416522828037,0.3918862643796156,,2.0,,0.11805555555555555,0.17063492063492064,0.07341269841269842,0.2857142857142857,5.276774569468174,6.020333880734718,4.539901369400698,6.949317808533304,0.971477222729888,0.9519943860628829,0.9828083223339087,0.9069416522828037,0.06925091638834911,0.07731119335562307,0.05932002557481032,0.08749875572970495,0.07142857142857142,0.12473347547974413,0.03411513859275053,0.22388059701492538,0.15738039536834525,0.10402087134116494,0.28627244969293764,0.08164477388837191,0.07563025210084033,0.08139534883720931,0.05405405405405406,0.1111111111111111,0.03486488505161981,0.048246723929232786,0.023045587201876584,0.06757263432247981,2.785466189888338,2.9895129298184773,2.607027905240082,3.2863188578174434
lightgcn-listwise,0.5936951297932108,0.1477493389671682,,2.0,,0.6051587301587301,0.7638888888888888,0.4623015873015873,0.9503968253968254,8.33251710597414,8.638487509441358,8.015175640901136,9.100883490631176,0.7620545233018581,0.7068278928486817,0.8075168375808035,0.5936951297932108,0.13011820947506467,0.13473955586847736,0.12561742775108561,0.14426095085764817,0.1257995735607676,0.20149253731343283,0.07356076759061833,0.3582089552238806,0.8895704405012924,0.8566597247047465,1.0050501969577408,0.8674247351917885,0.03114754098360656,0.07532467532467532,0.015021459227467811,0.162839248434238,0.06265582093917103,0.08171513146977313,0.04572412212882138,0.11273541601330171,3.8923941261035147,4.095769142463393,3.7192873652169007,4.468808127703021
csar-sampled,0.6223783717467086,0.07720638309356641,64.0,,0.1,0.6101190476190477,0.7648809523809523,0.4722222222222222,0.9305555555555556,8.257631357558983,8.575213255909073,7.9395747266750805,8.999868520284945,0.7730778505432023,0.7189427014586929,0.8158137882018479,0.6223783717467086,0.06842437235541783,0.0668618736285778,0.06995894925951911,0.06603810050443587,0.11087420042643924,0.18763326226012794,0.05970149253731343,0.3336886993603412,0.9239164091376607,0.8837745441938005,1.046173025359477,0.8817632479835421,0.04552845528455285,0.08300907911802853,0.0273109243697479,0.15245202558635396,0.055000689480977846,0.07429615327230477,0.038115522760962875,0.10326595605170007,3.869992523417029,4.059635984453329,3.7096752002248015,4.378061205406337
most-popular,0.9296776322469287,,,,,0.0625,0.09623015873015874,0.03869047619047619,0.17559523809523808,4.529158214487872,5.35092085417546,3.7699418420379467,6.460432091310025,0.9822101228551122,0.9683073789217179,0.9896965004907435,0.9296776322469287,0.0,0.0,0.0,0.0,0.06183368869936034,0.1023454157782516,0.03304904051172708,0.1929637526652452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030661961990823466,0.040919793293530064,0.021486831655351018,0.058770764071188634,2.6319477418921853,2.831868836407456,2.4626068913695986,3.1361874923407718
csar-bpr,0.6430469675432362,0.11804079690056636,64.0,,1.0,0.6964285714285714,0.8154761904761905,0.5535714285714286,0.9404761904761905,8.250628607828993,8.526690101494236,7.94556762788715,8.914619118778992,0.7663225115917014,0.7230245456391512,0.8065433884996784,0.6430469675432362,0.07613652303778277,0.07559544450062007,0.07504386461976428,0.07764319278104759,0.09488272921108742,0.16204690831556504,0.05543710021321962,0.30597014925373134,0.7220470783934156,0.7073012902411316,0.8256011706933792,0.7455900538323531,0.0811965811965812,0.11192214111922141,0.05734767025089606,0.16244725738396623,0.043304691903841716,0.06000452287065671,0.030631402572740035,0.08828855132908013,3.9503903954479145,4.075509604354994,3.8496877377397607,4.315697819965817
csar-bpr,0.6543261160185467,0.1181418929619662,96.0,,1.0,0.6577380952380952,0.7926587301587301,0.501984126984127,0.9375,8.162258734303073,8.461654786464305,7.832200715392405,8.874903372715313,0.7841764815378888,0.7387125808034657,0.8248506616576979,0.6543261160185467,0.07846981274553577,0.07776699219600312,0.08040716276170973,0.07923684545215443,0.09381663113006397,0.15671641791044777,0.06183368869936034,0.2953091684434968,0.704605395065696,0.6862479497565389,0.8074493460309531,0.728217048844549,0.0784313725490196,0.11764705882352941,0.06126482213438735,0.15978835978835979,0.04962257232174954,0.06548959458479842,0.039810614953988695,0.09330585380860583,3.9036637284039215,4.037633910183312,3.789776855589123,4.290344751855477
protomf-sampled,0.6139543777710089,0.058510680074320594,,,,0.625,0.7857142857142857,0.4851190476190476,0.9553571428571429,8.280246330356869,8.60280945623943,7.95875945678309,9.02944962674564,0.7676735370765222,0.7122923858598166,0.8118442650692118,0.6139543777710089,0.06056854166839197,0.06014243145689596,0.06106764697920074,0.059026458829097114,0.10341151385927505,0.17164179104477612,0.0628997867803838,0.3294243070362473,0.9711205102741591,0.9306184037534921,1.0940351208517038,0.92534305050429,0.047619047619047616,0.08712121212121213,0.02044989775051125,0.16822429906542055,0.05571011613486124,0.07276547690210208,0.042553590348472614,0.10364347214377152,3.862172034775958,4.054175865612392,3.6945821054162784,4.378029704864318
NeuMF,0.6862164094493519,0.13997370172317627,,,,0.566468253968254,0.7271825396825397,0.4117063492063492,0.9166666666666666,7.818584405009426,8.222974506349003,7.393831529788341,8.737035940981926,0.8280074965309507,0.7772623912749179,0.8679887128980945,0.6862164094493519,0.1067403945076366,0.10959292793479232,0.10543598927655642,0.11580326774381734,0.09168443496801706,0.16204690831556504,0.05223880597014925,0.3294243070362473,0.5888229894167833,0.5855947627441715,0.680275889919765,0.6518381841020036,0.07180385288966724,0.09822646657571624,0.043373493975903614,0.15584415584415584,0.04465005540084468,0.0622152105404968,0.032192056495387054,0.09526795025954361,3.6154129498628547,3.8040660167842817,3.4560006009318345,4.128197832586129
