folder_name,param_alpha,param_cg_steps,param_density,param_embedding_dim,param_k,param_l1_ratio,param_learning_rate,param_max_iter,param_name,param_positive_constraint,param_reg_lambda,param_save_model,param_target_k,param_tol,param_visualize,Coverage@10,Coverage@20,Coverage@5,Coverage@50,Entropy@10,Entropy@20,Entropy@5,Entropy@50,GiniIndex,GiniIndex@10,GiniIndex@20,GiniIndex@5,GiniIndex@50,GiniIndex_emb,GiniIndex_emb@10,GiniIndex_emb@20,GiniIndex_emb@5,GiniIndex_emb@50,HeadHitRate@10,HeadHitRate@20,HeadHitRate@5,HeadHitRate@50,HeadNDCG@10,HeadNDCG@20,HeadNDCG@5,HeadNDCG@50,HitRate@10,HitRate@20,HitRate@5,HitRate@50,ILD@10,ILD@20,ILD@5,ILD@50,LongTailCoverage@10,LongTailCoverage@20,LongTailCoverage@5,LongTailCoverage@50,LongTailHitRate@10,LongTailHitRate@20,LongTailHitRate@5,LongTailHitRate@50,LongTailNDCG@10,LongTailNDCG@20,LongTailNDCG@5,LongTailNDCG@50,NDCG@10,NDCG@20,NDCG@5,NDCG@50,Novelty@10,Novelty@20,Novelty@5,Novelty@50,PopRatio@10,PopRatio@20,PopRatio@5,PopRatio@50
svd_ae__BEST_svd_ae_SVDAE_Params_Search,,,,,2803,,,,svd_ae,,32.14343502084076,True,,,True,0.9538246733818689,0.98204846913334,0.8324523785778398,0.990924503839633,12.66608176402412,12.87309573977383,12.368534534246876,13.0140830720204,0.34154777586096474,0.5064208662527298,0.41801862295197145,0.6008660829220767,0.34154777586096474,,0.0,0.0,0.0,0.0,0.0842177336528586,0.10518657993837727,0.06684354673057172,0.14729544676480658,0.053095011851421514,0.057708812690702826,0.04815464674909532,0.06510354158031782,0.07907203566949979,0.09857879336770238,0.06221262365891041,0.13773164274766617,0.0,0.0,0.0,0.0,0.9220125786163522,0.9696016771488469,0.7471698113207547,0.9853249475890985,0.03865091088133924,0.0482520925652388,0.029049729197439686,0.06745445593303791,0.02170366822260923,0.024054514086869396,0.018883782698868888,0.02776447599518503,0.04773778106072483,0.051974402759317764,0.04312206074844469,0.058645710717693186,13.2510346081904,13.2942030731399,13.198702518524657,13.324499778820499,2.513699939727246,2.4801320415093193,2.5676021648776644,2.4697486199327887
ials__BEST_ials_iALS_Lambda_Search,72.83053001180518,3,,128,,,,15,ials,,1.7055202486715182,True,,,True,0.7001097037997407,0.8478109105415379,0.5392440410890595,0.9563179415577939,11.421151473488704,11.782427326227173,11.049862841434278,12.206289237717963,0.6367293835416842,0.7832610805499806,0.7252846449322791,0.8303115126847355,0.6367293835416842,0.15070394526387093,0.13656060169662235,0.14044481554746024,0.1325274060314442,0.14514536326662214,0.10244779185210544,0.14010612803834302,0.07317699418007531,0.20797672030126668,0.05755107022271688,0.0662618156639151,0.049396171265005985,0.07845879748351378,0.08812874460080813,0.12156890065486972,0.062351957642469,0.18336352236310435,0.8958807268910659,0.8674707087331683,1.0087420221127987,0.8775682766382386,0.46834381551362686,0.719706498951782,0.24947589098532494,0.919077568134172,0.017971442639094042,0.028557360905957656,0.0103397341211226,0.05366814377154111,0.008670777563634777,0.011146094170260112,0.0062244913960443115,0.01585738011254554,0.04822288653712523,0.05571736704637373,0.04119526567853961,0.06656590813542627,12.042313465118397,12.230372316571362,11.863712344401794,12.48068127499182,3.7542528974837444,3.596924593315993,3.9810265819486697,3.3766532864523637
sansa__BEST_sansa_SANSA_Lambda_Search,,,0.005624681547956764,,,,,,sansa,,50.79163075574153,True,0,,True,0.9329809514311359,0.985140121671487,0.7837837837837838,0.99301884910741,12.5067356823077,12.736784334008536,12.223966548381291,12.926128050637036,0.39461990982991596,0.562883586199663,0.48142913673279997,0.6396564416107164,0.39461990982991596,,0.0,0.0,0.0,0.0,0.08789798014378637,0.11280383430332078,0.07009585758301952,0.15807942485450188,0.05586303461281025,0.061459525331914594,0.05085012964495957,0.06942513506155158,0.08102271143932005,0.10470948864428034,0.06388463146161348,0.1466490176954159,0.0,0.0,0.0,0.0,0.8836477987421384,0.9733752620545073,0.6555555555555556,0.9890985324947589,0.03545051698670606,0.0482520925652388,0.025603151157065487,0.06843919251600197,0.02059641704457007,0.023648366756057828,0.017667340315339716,0.027532878825010775,0.04963733561878481,0.0548218816690749,0.04494278946848726,0.06201430281427501,13.094855759860248,13.145343781048798,13.04309577492405,13.20317162827304,2.638593538030381,2.6152194068388233,2.718420240552625,2.579019947866094
slim__BEST_slim_SLIM_ElasticNet_Search,0.00024929714347637075,,,,,0.4386944837697704,0.1,500,slim,True,,True,,1e-4,True,0.6858482098334497,0.8242744589608059,0.5470230377979456,0.928792260895582,11.455353918230983,11.63321195733662,11.229418964393021,11.75803221390223,0.7145468105559047,0.7753799616331989,0.7463407799915566,0.8057727902254828,0.7145468105559047,,0.0,0.0,0.0,0.0,0.08772680588839439,0.11357411845258474,0.0688976377952756,0.15516946251283806,0.05245582852174846,0.05822996941556044,0.047148261822008,0.06542155212106014,0.07691235892434165,0.10004180019506757,0.05942594398773861,0.13633830291208027,0.0,0.0,0.0,0.0,0.48574423480083856,0.6983228511530398,0.32033542976939205,0.8786163522012579,0.020433284096504186,0.028311176760216644,0.012555391432791729,0.0379123584441162,0.010355485837071542,0.012265562558438765,0.007934716695443614,0.01414083165471275,0.04436607785516297,0.049475413044261195,0.03960730761838578,0.055562699720223624,12.15136890739223,12.249870378292004,12.072015336387297,12.458516569651271,3.808409955806246,3.85510830557175,3.7604209451566564,4.062864537572585
rlae__BEST_rlae_RLAE_Params_Search,4.678265914332747,,,,,,,,rlae,,42.883729207792626,True,,,True,0.9191183803729929,0.982946045676673,0.7547621422160168,0.99301884910741,12.280568719692914,12.534316718019157,11.973289907617538,12.765111939805823,0.44994008221830595,0.6102754734433833,0.5360010916047085,0.6804762934975941,0.44994008221830595,,0.0,0.0,0.0,0.0,0.0892673741869223,0.11254707292023279,0.0702670318384115,0.1579082505991099,0.05616103517389636,0.06128423867068982,0.05087358930303683,0.06928303219703122,0.08144071338999583,0.10366448376759091,0.0636059634944963,0.1455343458269472,0.0,0.0,0.0,0.0,0.8593291404612159,0.969392033542977,0.610691823899371,0.9890985324947589,0.0327424913835549,0.045051698670605614,0.023879862136878385,0.06425406203840472,0.019469253676669233,0.022344588761584325,0.016724512878201227,0.026029110115221233,0.04968493763791257,0.05445839121924152,0.04480131415349039,0.06167312688944664,12.754055769665438,12.844317278175666,12.662464354415729,12.951803698785644,3.396238012038194,3.302713624362228,3.4792089690159047,3.2214333774980535
light_lira__BEST_light_lira_LightLiRA_Lambda_K_Search,,,,,3237,,,,light_lira,,1153.8107052028024,True,,,True,0.9087463847611449,0.982646853495562,0.7349157275356537,0.992719656926299,12.26356289035183,12.530861121319374,11.936317595809605,12.779949677154399,0.45379058262073757,0.6249642406911399,0.5478992306671389,0.698467555462867,0.45379058262073757,0.27363454954244953,0.1941800757254908,0.2084982107621787,0.1798991855557602,0.2242177328275192,0.08361862375898665,0.10681273536460116,0.06436152002738788,0.15388565559739814,0.050340306824338446,0.05560741086002199,0.04466776691687281,0.06381667378168837,0.07719102689145883,0.0983001254005852,0.05852027309460778,0.14281733314755468,1.0809008828756852,1.0310514743354338,1.2083865656350439,1.0072536777283996,0.8765199161425576,0.970859538784067,0.6496855345911949,0.9884696016771488,0.03348104382077794,0.04234367306745446,0.022648941408173313,0.06622353520433284,0.017740488155995698,0.019812552553865877,0.014514481424079228,0.024218574213682172,0.044566547375834265,0.04927514787451266,0.03923885126633602,0.05683977689249372,12.90798628869818,12.984781631124532,12.826149317728206,13.063399269423996,3.1018824422476237,3.1014943905115255,3.0283638835141864,3.0763373012474378
pure-svd__BEST_pure_svd_PureSVD_Rank_Search,,,,1565,,,,,pure-svd,,,True,,,True,0.7757055948937868,0.9152288820185499,0.5878129051560785,0.9749675875137129,12.230732320740271,12.541201923209897,11.911238848393136,12.789441715781596,0.45953960783521386,0.6403743166405977,0.5523629241315968,0.7097334674433926,0.45953960783521386,,0.0,0.0,0.0,0.0,0.07300581992468333,0.0906367682300582,0.0577713111947963,0.12606983909619993,0.04611991926205563,0.05006580171632748,0.04164713305830984,0.05630915978138509,0.06465096837118574,0.08206771631600948,0.049742232130416605,0.11627420927964331,0.0,0.0,0.0,0.0,0.609643605870021,0.8540880503144654,0.3383647798742138,0.9568134171907757,0.019694731659281144,0.030773018217626784,0.010585918266863614,0.051452486459871986,0.009390618047109464,0.011913299423112334,0.006474961521890506,0.015781292447484933,0.03887712627416544,0.042631763425350036,0.03463657659233634,0.048486245272893365,13.167334759529549,13.215046829310557,13.139793451505302,13.266716567742744,2.294533398846144,2.1511094707281457,2.4438600219217674,2.00652523724127
ease__BEST_ease_EASE_Lambda_Search,,,,,,,,,ease,,73.2698291465783,True,,,True,0.6725840231375286,0.8671586715867159,0.5001495960905555,0.984442006582228,11.169262312161429,11.509585305921414,10.816076086215702,11.959321654572229,0.6786431196171618,0.8103666498670116,0.7627090782711675,0.8487519645125918,0.6786431196171618,,0.0,0.0,0.0,0.0,0.08978089695309825,0.11442998972954467,0.06744265662444368,0.16501198219787744,0.05285329545766891,0.058494121679494276,0.046581561843588325,0.06731578548652287,0.07865403371882403,0.10192280897310854,0.058659607078166365,0.14706701964609167,0.0,0.0,0.0,0.0,0.470020964360587,0.7626834381551363,0.2679245283018868,0.9723270440251572,0.020433284096504186,0.0327424913835549,0.013786312161496799,0.0482520925652388,0.010902306105001529,0.013753416921779334,0.008732125447746927,0.016758041733291006,0.044922538742574035,0.05011793625778378,0.03941937792763734,0.05779947563195641,11.959769457954097,12.105712405390843,11.819375229729944,12.321747946998357,4.169645358606679,3.99751970856222,4.294406782669149,3.910823769888131
infinity_ae__BEST_infinity_ae_InfinityAE_Lambda_Search,,,,,,,,,infinity_ae,,0.2208078413267261,True,,,True,0.7875735514111898,0.9146304976563279,0.6091552807419967,0.984142814401117,11.260526873399625,11.622776815405679,10.827400543122815,12.044294801284217,0.6327039626420953,0.7703829630736874,0.7143612184401823,0.8234759544798224,0.6327039626420953,,0.0,0.0,0.0,0.0,0.08798356727148236,0.11639849366655255,0.06804176651831564,0.17425539198904486,0.05172124190208565,0.05814036672666477,0.046076130659179725,0.06836862183773491,0.0776090288421346,0.1025498118991222,0.059634944963076496,0.15452138776647625,0.0,0.0,0.0,0.0,0.6496855345911949,0.8482180293501048,0.4190775681341719,0.9716981132075472,0.021664204825209258,0.028311176760216644,0.0155096011816839,0.0465288035450517,0.011965764568417425,0.01367006977208691,0.010005012648222879,0.017174988963968237,0.04432299949946364,0.04984492118284815,0.039374311476909576,0.05878830855786183,11.938823921255073,12.086554865011452,11.78870160076283,12.302533685053815,4.787993916455601,4.884641440510251,4.954376012287661,4.750331299621077
lira__BEST_lira_LiRA_Lambda_Search,,,,,,,,,lira,,81.52335221665884,True,,,True,0.963598284631495,0.99102423456667,0.8555899072504238,0.993318041288521,12.842676461727079,13.0245663396807,12.571407191663514,13.16256892960003,0.23016266502624882,0.4304587562028948,0.3341517265234223,0.534660677005303,0.23016266502624882,0.22579280834400292,0.2034045076679161,0.20014379671895413,0.2079681378363228,0.195742806451146,0.07103731598767546,0.08978089695309825,0.05605956864087641,0.13325915782266348,0.04415164870155781,0.04841699211109539,0.03979259591026211,0.05606561094512887,0.07078166364776368,0.08987041939529052,0.055594259439877385,0.13180994844642607,1.0412188493077663,1.0030525473726482,1.1552947924668466,0.9900510307347955,0.9679245283018868,0.9878406708595387,0.8735849056603774,0.989517819706499,0.048005908419497784,0.06253077301821763,0.03643525356967011,0.08714918759231906,0.026545505439989934,0.029949869541362403,0.023049884298936202,0.034546024955789185,0.041989643191077286,0.04613508970232812,0.03766315275635353,0.053282522416580824,13.760628447821432,13.722567958719027,13.782452462004361,13.643621751724977,2.136722513562855,2.0817133713254985,2.219336300099171,2.081784589100623
